code,name,batch,stock,deal,free,mrp,rate,exp,supplier,company
RENT,RENT,xxx,24,0,0,0,0,/  /,SARADA PHARMACY      MADHIRA,RENT
PACKTAG,TAG ROLL,XXX,15,0,0,0,0,/  /,V.H.M.TRADERS VIJAYAWADA,GENARAL COMPANY
PACKTAG,TAG ROLL,XXX,15,0,0,0,0,/  /,V.H.M.TRADERS VIJAYAWADA,GENARAL COMPANY
WLCMD,COLIMEX DROPS,CRR007A,-15,19,1,40.8,29.14,/  /,WALLACE PHARMACEUTICALS PVT.LTHYDERABAD,WALLACE PHARMA
XXCKS,GIFT ITEM,SHOWER TO,5,0,0,1,1,1/1/2031,,GIFT ARTICALS
XXCKS,GIFT ITEM,ZINCOLD TA,2,0,0,1,1,1/10/2030,MED MANOR ORGANICS PVT LT     HYDERABAD,GIFT ARTICALS
XXCLB,GIFT BAG,TRELLIS,2,0,0,0.01,0.01,1/3/2030,MED MANOR ORGANICS PVT LT     HYDERABAD,GIFT ARTICALS
XXCKS,GIFT ITEM,PAINT/SHAR,2,0,0,1,0.95,1/3/2030,MED MANOR ORGANICS PVT LT     HYDERABAD,GIFT ARTICALS
XXCKS,GIFT ITEM,NA,1,0,0,1,0.95,1/10/2025,,GIFT ARTICALS
XXCKS,GIFT ITEM,NA,4,0,0,1,0.95,1/10/2025,,GIFT ARTICALS
N2,TIFFIN BOX/FLASK NO,FOC,4,0,0,0,0,26/03/2025,MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL,GIFT ARTICALS
XXCKS,GIFT ITEM,NA,2,0,0,1,0.95,1/3/2025,,GIFT ARTICALS
CICPR,ROTAHALER,03J20020,-2,0,0,126.44,90.31,1/1/2025,CIPLA LIMITED  HYDERABAD,CIPLA(RESP 2)
BDES2,BD EMERALD SYRINGE,30523,2400,0,0,8,2.2,1/1/2025,MANTRI PHARAM     HYDERABAD,BD SYRINGES  (MANTRI PHARMA)
BDEM3,BD EMERALD SYRINGE,32479,7200,0,0,8,2.2,1/1/2025,MANTRI PHARAM     HYDERABAD,BD SYRINGES  (MANTRI PHARMA)
BDEM3,BD EMERALD SYRINGE,35475,7200,0,0,8,2.2,1/1/2025,MANTRI PHARAM     HYDERABAD,BD SYRINGES  (MANTRI PHARMA)
CICPR,ROTAHALER,03J20002,31,0,0,126.44,90.31,1/12/2024,CIPLA LIMITED  HYDERABAD,CIPLA(RESP 2)
BDES5,BD EMERALD SYRINGE,9364723,1600,0,0,9,2.65,1/12/2024,MANTRI PHARAM     HYDERABAD,BD SYRINGES  (MANTRI PHARMA)
BDEM3,BD EMERALD SYRINGE,9362434,1000,0,0,8,2.2,1/11/2024,MANTRI PHARAM     HYDERABAD,BD SYRINGES  (MANTRI PHARMA)
BDE10,BD EMERALD SYRINGE,9362439,650,0,0,14.5,4.25,1/11/2024,MANTRI PHARAM     HYDERABAD,BD SYRINGES  (MANTRI PHARMA)
BDES2,BD EMERALD SYRINGE,9362431,3700,0,0,8,2.2,1/11/2024,MANTRI PHARAM     HYDERABAD,BD SYRINGES  (MANTRI PHARMA)
BDES2,BD EMERALD SYRINGE,9362431,4800,0,0,8,2.2,1/11/2024,MANTRI PHARAM     HYDERABAD,BD SYRINGES  (MANTRI PHARMA)
CICRE,REVOLIZER,38J19080,4,0,0,223.85,159.89,1/9/2024,CIPLA LIMITED  HYDERABAD,CIPLA(RESP 1)
BDINS,BD INSULIN SYRINGE U 40,9231178,50,0,0,86,61.94,1/9/2024,MANTRI PHARAM     HYDERABAD,BD SYRINGES  (MANTRI PHARMA)
BDINS,BD INSULIN SYRINGE U 40,9231186,200,0,0,86,61.94,1/9/2024,MANTRI PHARAM     HYDERABAD,BD SYRINGES  (MANTRI PHARMA)
SUNZT,ZEPTOL 200MG TAB***,ESU1718,7,0,0,15.09,10.78,1/9/2024,PRUDHVI AGENCIES VIJAYAWADA,SUN PHARMACEUTICAL I LTD
BDINS,BD INSULIN SYRINGE U 40,9231174,250,0,0,86,61.94,1/8/2024,MANTRI PHARAM     HYDERABAD,BD SYRINGES  (MANTRI PHARMA)
PFM16,MEDROL 16MG TABS,DA3714,24,0,0,134.45,103.48,1/8/2024,PFIZER LIMITED HYDERABAD,PFIZER  (RESPI)
BDINU,BD INSULIN SYRINGE U 100,9154702,16,0,0,86,61.94,1/6/2024,MANTRI PHARAM     HYDERABAD,BD SYRINGES  (MANTRI PHARMA)
PFMD4,MEDROL 4MG TABS,CY9788,14,0,0,52.59,37.56,1/4/2024,PFIZER LIMITED HYDERABAD,PFIZER  (RESPI)
APNRT,NEERI TAB **,NERT3371D,15,10,1,155,110.72,1/3/2024,LAKSHMI BALAJI CORPORATION VIJAYAWADA,GENARAL COMPANY
MLOC1,OMNACORTIL 10MG TAB,GOC2024A,475,0,0,10.64,7.98,31/01/2024,MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL,MACLEODS  (MACPHAR)
WASEK,SENSODENT-K,SAF13BB4,12,10,1,115,82.14,1/1/2024,INDOCO REMEDIES LTD(INDOC)    HYDERABAD,INDOCO (WARREN PHARMA)
WASK5,SENSODENT-K,SAF39BB4,8,10,1,75,53.57,1/1/2024,INDOCO REMEDIES LTD(INDOC)    HYDERABAD,INDOCO (WARREN PHARMA)
WASE5,SENSOFORM,SAG5BB4,103,10,1,76,54.29,1/1/2024,INDOCO REMEDIES LTD(INDOC)    HYDERABAD,INDOCO (WARREN PHARMA)
UQMG2,METROGYL 200MG TAB,AM20006,-1,0,0,11.42,8.79,1/1/2024,J.B.CHEMICALS AND PHARMA      SECUNDERABAD,J.B. CHE&PHARMA LIMITED  (DIVA)
UQMG2,METROGYL 200MG TAB,AM20010,1,0,0,11.42,8.79,1/1/2024,J.B.CHEMICALS AND PHARMA      SECUNDERABAD,J.B. CHE&PHARMA LIMITED  (DIVA)
MIDPT,DOLOPAR TAB***,DOCS0134,2,5,1,45,32.15,1/1/2024,LAKSHMI VENKATESWARA PHARMA   HYDERABAD,MICRO LABS
MDAV5,AMLOVAS 5MG TAB,KAB2002A,-5,0,0,42.84,30.6,1/1/2024,MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL,MACLEODS (PROCARE) AHT
MLOC1,OMNACORTIL 10MG TAB,GOC2030A,50,0,0,10.64,7.98,1/1/2024,MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL,MACLEODS  (MACPHAR)
MLOC1,OMNACORTIL 10MG TAB,GOC2031A,-50,0,0,10.64,7.98,1/1/2024,MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL,MACLEODS  (MACPHAR)
MLOC2,OMNACORTIL 20MG TAB,GOD2008A,5,0,0,21.39,16.04,31/12/2023,MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL,MACLEODS  (MACPHAR)
MLOC5,OMNACORTIL 5MG TAB,GOB2015A,790,0,0,6.16,4.62,31/12/2023,MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL,MACLEODS  (MACPHAR)
GRCV6,CANDID-V6 TABS,50200004,18,0,0,57.12,40.8,31/12/2023,SAI DWAR PHARMACEUTICALS HYDERABAD(GLENMARK),GLENMARK PHARMA
WASE1,SENSOFORM,SAG12AB4,113,10,1,107,76.43,1/12/2023,INDOCO REMEDIES LTD(INDOC)    HYDERABAD,INDOCO (WARREN PHARMA)
MDAV5,AMLOVAS 5MG TAB,KAB2001B,18,0,0,42.84,30.6,1/12/2023,MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL,MACLEODS (PROCARE) AHT
CBTT2,TEGRITAL 200MG TAB,210CPAO0,192,0,0,15.2,11.7,1/12/2023,NOVARTIS INDIA LIMITED        HYDERABAD,NOVARTIS (PRASAAR)
MIDL6,DOLO-650MG TAB***,DOBS1856,744,9,1,30.24,21.62,1/12/2023,SARADA PHARMACY      MADHIRA,MICRO LABS
GMDRA,DERIPHYLIN AMP,AIW1017,3000,0,0,6.8,4.86,1/12/2023,ZYDUS HEALTHCARE LIMITED      HYDERABAD,GERMAN REMADIES LTD
MDAV2,AMLOVAS 2.5MG TAB,KAA909B,6,0,0,27.21,19.43,30/11/2023,MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL,MACLEODS (PROCARE) AHT
AFDE1,EPILAN TABS,12918P,3,0,0,2983.88,2131.34,1/11/2023,ANGLO FRENCH DRUGS & INDST LTDHYDERABAD,ANGLO FRENCH DRUGD
WASF1,SENSODENT KF,SAD16LA4,20,9,1,106.7,76.21,1/11/2023,INDOCO REMEDIES LTD(INDOC)    HYDERABAD,INDOCO (WARREN PHARMA)
GRCNP,CANDID POWDER,72190424,120,14,1,80,57.14,31/10/2023,SAI DWAR PHARMACEUTICALS HYDERABAD(GLENMARK),GLENMARK PHARMA
ALAC5,ALCIPRO 500MG TAB,19442903,60,10,1,39.93,29.95,1/10/2023,ALKEM LABORATORIES LIMITED    MALKAJGIRI (DIS,ALKEM (PHARMA)
INCPT,CYCLOPAM TAB,CEB5K97,92,9,1,46.35,33.11,1/10/2023,INDOCO REMEDIES LTD(INDOC)    HYDERABAD,INDOCO
MIDL6,DOLO-650MG TAB***,DOBS1775,720,9,1,30.24,21.62,1/10/2023,LAKSHMI BALAJI CORPORATION VIJAYAWADA,MICRO LABS
MIDL6,DOLO-650MG TAB***,DOBS1782,1107,9,1,30.24,21.62,1/10/2023,LAKSHMI BALAJI CORPORATION VIJAYAWADA,MICRO LABS
GRCDP,CANDID POWDER,34191683,38,14,1,125,89.29,1/10/2023,SAI DWAR PHARMACEUTICALS HYDERABAD(GLENMARK),GLENMARK PHARMA
GMPD5,PROLUTON DEPOT 500 AMP,G905317,24,9,1,278.6,199,1/10/2023,SARADA PHARMACY      MADHIRA,GERMAN REMADIES (GYNNEXT)
UQMG2,METROGYL 200MG TAB,AM29064,30,0,0,7.53,5.8,1/9/2023,J.B.CHEMICALS AND PHARMA      SECUNDERABAD,J.B. CHE&PHARMA LIMITED  (DIVA)
GRCV3,CANDID-V3 TABS,50190061,14,0,0,65,46.43,1/9/2023,SAI DWAR PHARMACEUTICALS HYDERABAD(GLENMARK),GLENMARK PHARMA
GRDCB,DECA DURABOLIN  50MG AMP,G904712,6,0,0,338.4,241.71,1/9/2023,ZYDUS HEALTHCARE LIMITED      HYDERABAD,ZYDUS FORTIZA
GMDRA,DERIPHYLIN AMP,BGV1196,710,0,0,6.8,4.86,1/9/2023,ZYDUS HEALTHCARE LIMITED      HYDERABAD,GERMAN REMADIES LTD
MDO4T,OFLOMAC 400MG TAB,KOC903A,10,0,0,127,90.71,31/08/2023,MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL,MACLEODS (PHARMA) DIVISION
MLOT5,OMNITAN 50MG TAB,KOR902A,8,0,0,88,62.86,31/07/2023,MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL,MACLEODS (PROCARE) AHT
ECAM5,ASOMEX 5MG TAB,E16AQ20002,40,0,0,142.15,101.54,1/7/2023,EMCURE PHARMACEUTICALS LTD  HYDERABAD,EMCURE PHARMACEUTICALS LTD
GRDDL,DECA DURABOLIN  25MG AMP,G905036,2,0,0,218.6,156.14,1/7/2023,ZYDUS HEALTHCARE LIMITED      HYDERABAD,ZYDUS FORTIZA
MDO4T,OFLOMAC 400MG TAB,KOC902B,2,0,0,127,90.71,30/06/2023,MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL,MACLEODS (PHARMA) DIVISION
ECAM2,ASOMEX 2.5MG TAB,E16AP20003,40,0,0,91.2,65.14,1/6/2023,EMCURE PHARMACEUTICALS LTD  HYDERABAD,EMCURE PHARMACEUTICALS LTD
HMCTT,CYSTONE TAB,192000403,1,0,0,125,85.93,1/6/2023,THE HIMALAYA DRUG COMPANY     HYDERABAD,THE HIMALAYA DRUG CO ( ZENITH)
WASF5,SENSODENT KF,SAD12G94,12,9,1,72,51.43,1/6/2023,,INDOCO (WARREN PHARMA)
MDO3T,OFLOMAC 300MG TAB,KOP901A,43,0,0,110,78.57,31/05/2023,MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL,MACLEODS (PHARMA) DIVISION
KNCPS,CREMAFFIN PINK SYR(M.F),CFB0038,60,0,0,191.84,137.03,1/5/2023,ABBOTT INDIA LIMITED HYDERABAD,ABBOTT (GASTROCARE)
